start_time,end_time,consumption,type
2023-01-23 08:45:00-05:00,2023-01-23 09:00:00-05:00,2.112,ELEC
2023-01-23 09:00:00-05:00,2023-01-23 09:15:00-05:00,1.671,ELEC
2023-01-23 09:15:00-05:00,2023-01-23 09:30:00-05:00,2.562,ELEC
2023-01-23 09:30:00-05:00,2023-01-23 09:45:00-05:00,1.833,ELEC
2023-01-23 09:45:00-05:00,2023-01-23 10:00:00-05:00,1.929,ELEC
2023-01-23 10:00:00-05:00,2023-01-23 10:15:00-05:00,2.124,ELEC
2023-01-23 10:15:00-05:00,2023-01-23 10:30:00-05:00,1.725,ELEC
2023-01-23 10:30:00-05:00,2023-01-23 10:45:00-05:00,2.343,ELEC
2023-01-23 10:45:00-05:00,2023-01-23 11:00:00-05:00,2.127,ELEC
2023-01-23 11:00:00-05:00,2023-01-23 11:15:00-05:00,1.701,ELEC
2023-01-23 11:15:00-05:00,2023-01-23 11:30:00-05:00,2.469,ELEC
2023-01-23 11:30:00-05:00,2023-01-23 11:45:00-05:00,1.698,ELEC
2023-01-23 11:45:00-05:00,2023-01-23 12:00:00-05:00,1.842,ELEC
2023-01-23 12:00:00-05:00,2023-01-23 12:15:00-05:00,2.415,ELEC
2023-01-23 12:15:00-05:00,2023-01-23 12:30:00-05:00,1.944,ELEC
2023-01-23 12:30:00-05:00,2023-01-23 12:45:00-05:00,1.608,ELEC
2023-01-23 12:45:00-05:00,2023-01-23 13:00:00-05:00,2.52,ELEC
2023-01-23 13:00:00-05:00,2023-01-23 13:15:00-05:00,2.322,ELEC
2023-01-23 13:15:00-05:00,2023-01-23 13:30:00-05:00,1.764,ELEC
2023-01-23 13:30:00-05:00,2023-01-23 13:45:00-05:00,2.241,ELEC
2023-01-23 13:45:00-05:00,2023-01-23 14:00:00-05:00,2.802,ELEC
2023-01-23 14:00:00-05:00,2023-01-23 14:15:00-05:00,1.623,ELEC
2023-01-23 14:15:00-05:00,2023-01-23 14:30:00-05:00,2.556,ELEC
2023-01-23 14:30:00-05:00,2023-01-23 14:45:00-05:00,2.565,ELEC
2023-01-23 14:45:00-05:00,2023-01-23 15:00:00-05:00,1.647,ELEC
2023-01-23 15:00:00-05:00,2023-01-23 15:15:00-05:00,1.767,ELEC
2023-01-23 15:15:00-05:00,2023-01-23 15:30:00-05:00,2.604,ELEC
2023-01-23 15:30:00-05:00,2023-01-23 15:45:00-05:00,2.148,ELEC
2023-01-23 15:45:00-05:00,2023-01-23 16:00:00-05:00,1.815,ELEC
2023-01-23 16:00:00-05:00,2023-01-23 16:15:00-05:00,1.8,ELEC
2023-01-23 16:15:00-05:00,2023-01-23 16:30:00-05:00,2.886,ELEC
2023-01-23 16:30:00-05:00,2023-01-23 16:45:00-05:00,1.806,ELEC
2023-01-23 16:45:00-05:00,2023-01-23 17:00:00-05:00,1.68,ELEC
2023-01-23 17:00:00-05:00,2023-01-23 17:15:00-05:00,2.4,ELEC
2023-01-23 17:15:00-05:00,2023-01-23 17:30:00-05:00,2.202,ELEC
2023-01-23 17:30:00-05:00,2023-01-23 17:45:00-05:00,1.722,ELEC
2023-01-23 17:45:00-05:00,2023-01-23 18:00:00-05:00,1.926,ELEC
2023-01-23 18:00:00-05:00,2023-01-23 18:15:00-05:00,2.868,ELEC
2023-01-23 18:15:00-05:00,2023-01-23 18:30:00-05:00,1.662,ELEC
2023-01-23 18:30:00-05:00,2023-01-23 18:45:00-05:00,1.626,ELEC
2023-01-23 18:45:00-05:00,2023-01-23 19:00:00-05:00,2.49,ELEC
2023-01-23 19:00:00-05:00,2023-01-23 19:15:00-05:00,3.576,ELEC
2023-01-23 19:15:00-05:00,2023-01-23 19:30:00-05:00,1.845,ELEC
2023-01-23 19:30:00-05:00,2023-01-23 19:45:00-05:00,1.38,ELEC
2023-01-23 19:45:00-05:00,2023-01-23 20:00:00-05:00,2.187,ELEC
2023-01-23 20:00:00-05:00,2023-01-23 20:15:00-05:00,2.112,ELEC
2023-01-23 20:15:00-05:00,2023-01-23 20:30:00-05:00,1.416,ELEC
2023-01-23 20:30:00-05:00,2023-01-23 20:45:00-05:00,1.818,ELEC
2023-01-23 20:45:00-05:00,2023-01-23 21:00:00-05:00,2.298,ELEC
2023-01-23 21:00:00-05:00,2023-01-23 21:15:00-05:00,1.449,ELEC
2023-01-23 21:15:00-05:00,2023-01-23 21:30:00-05:00,1.419,ELEC
2023-01-23 21:30:00-05:00,2023-01-23 21:45:00-05:00,2.454,ELEC
2023-01-23 21:45:00-05:00,2023-01-23 22:00:00-05:00,1.839,ELEC
2023-01-23 22:00:00-05:00,2023-01-23 22:15:00-05:00,1.041,ELEC
2023-01-23 22:15:00-05:00,2023-01-23 22:30:00-05:00,1.128,ELEC
2023-01-23 22:30:00-05:00,2023-01-23 22:45:00-05:00,2.91,ELEC
2023-01-23 22:45:00-05:00,2023-01-23 23:00:00-05:00,1.38,ELEC
2023-01-23 23:00:00-05:00,2023-01-23 23:15:00-05:00,0.705,ELEC
2023-01-23 23:15:00-05:00,2023-01-23 23:30:00-05:00,1.695,ELEC
2023-01-23 23:30:00-05:00,2023-01-23 23:45:00-05:00,0.954,ELEC
2023-01-23 23:45:00-05:00,2023-01-24 00:00:00-05:00,0.438,ELEC
2023-03-16 00:00:00-04:00,2023-03-16 00:15:00-04:00,0.912,ELEC
2023-03-16 00:15:00-04:00,2023-03-16 00:30:00-04:00,1.113,ELEC
2023-03-16 00:30:00-04:00,2023-03-16 00:45:00-04:00,0.396,ELEC
2023-03-16 00:45:00-04:00,2023-03-16 01:00:00-04:00,1.224,ELEC
2023-03-16 01:00:00-04:00,2023-03-16 01:15:00-04:00,0.822,ELEC
2023-03-16 01:15:00-04:00,2023-03-16 01:30:00-04:00,1.146,ELEC
2023-03-16 01:30:00-04:00,2023-03-16 01:45:00-04:00,1.059,ELEC
2023-03-16 01:45:00-04:00,2023-03-16 02:00:00-04:00,0.789,ELEC
2023-03-16 02:00:00-04:00,2023-03-16 02:15:00-04:00,1.626,ELEC
2023-03-16 02:15:00-04:00,2023-03-16 02:30:00-04:00,0.483,ELEC
2023-03-16 02:30:00-04:00,2023-03-16 02:45:00-04:00,1.047,ELEC
2023-03-16 02:45:00-04:00,2023-03-16 03:00:00-04:00,1.311,ELEC
2023-03-16 03:00:00-04:00,2023-03-16 03:15:00-04:00,0.615,ELEC
2023-03-16 03:15:00-04:00,2023-03-16 03:30:00-04:00,1.473,ELEC
2023-03-16 03:30:00-04:00,2023-03-16 03:45:00-04:00,0.822,ELEC
2023-03-16 03:45:00-04:00,2023-03-16 04:00:00-04:00,1.404,ELEC
2023-03-16 04:00:00-04:00,2023-03-16 04:15:00-04:00,1.104,ELEC
2023-03-16 04:15:00-04:00,2023-03-16 04:30:00-04:00,1.653,ELEC
2023-03-16 04:30:00-04:00,2023-03-16 04:45:00-04:00,1.059,ELEC
2023-03-16 04:45:00-04:00,2023-03-16 05:00:00-04:00,1.485,ELEC
2023-03-16 05:00:00-04:00,2023-03-16 05:15:00-04:00,1.227,ELEC
2023-03-16 05:15:00-04:00,2023-03-16 05:30:00-04:00,1.173,ELEC
2023-03-16 05:30:00-04:00,2023-03-16 05:45:00-04:00,1.191,ELEC
2023-03-16 05:45:00-04:00,2023-03-16 06:00:00-04:00,1.383,ELEC
2023-03-16 06:00:00-04:00,2023-03-16 06:15:00-04:00,1.38,ELEC
2023-03-16 06:15:00-04:00,2023-03-16 06:30:00-04:00,1.656,ELEC
2023-03-16 06:30:00-04:00,2023-03-16 06:45:00-04:00,3.429,ELEC
2023-03-16 06:45:00-04:00,2023-03-16 07:00:00-04:00,1.998,ELEC
2023-03-16 07:00:00-04:00,2023-03-16 07:15:00-04:00,3.03,ELEC
2023-03-16 07:15:00-04:00,2023-03-16 07:30:00-04:00,1.998,ELEC
2023-03-16 07:30:00-04:00,2023-03-16 07:45:00-04:00,2.88,ELEC
2023-03-16 07:45:00-04:00,2023-03-16 08:00:00-04:00,2.226,ELEC
2023-03-16 08:00:00-04:00,2023-03-16 08:15:00-04:00,3.162,ELEC
2023-03-16 08:15:00-04:00,2023-03-16 08:30:00-04:00,1.788,ELEC
2023-03-16 08:30:00-04:00,2023-03-16 08:45:00-04:00,2.76,ELEC
2023-03-16 08:45:00-04:00,2023-03-16 09:00:00-04:00,2.217,ELEC
